keyword,title,price,rating,reviews,platform,delivery
air fryer India,Nike air fryer India Model 114,509.0,3.8,3324,reliance digital,2 days
microwave oven convection,Philips microwave oven convection Model 363,545.0,4.5,3336,reliance digital,2 days
air fryer India,Dell air fryer India Model 406,580.0,5.0,4288,reliance digital,free delivery
power bank fast charging,Nike power bank fast charging Model 363,702.0,4.5,1477,flipkart,2 days
men running shoes,Samsung men running shoes Model 836,712.0,4.6,819,flipkart,2 days
power bank fast charging,Samsung power bank fast charging Model 308,780.0,2.9,2239,croma,2 days
microwave oven convection,Philips microwave oven convection Model 889,861.0,5.0,1382,amazon,2 days
power bank fast charging,Puma power bank fast charging Model 343,889.0,4.9,3557,reliance digital,5 days
air fryer India,Philips air fryer India Model 575,1010.0,3.3,2030,flipkart,2 days
microwave oven convection,HP microwave oven convection Model 801,1014.0,4.8,556,flipkart,5 days
power bank fast charging,Dell power bank fast charging Model 291,1087.0,2.6,1882,croma,5 days
microwave oven convection,Sony microwave oven convection Model 911,1095.0,3.5,2227,reliance digital,5 days
microwave oven convection,HP microwave oven convection Model 455,1099.0,2.6,2771,reliance digital,2 days
men running shoes,HP men running shoes Model 425,1105.0,3.8,69,amazon,5 days
office chair ergonomic,Puma office chair ergonomic Model 753,1131.0,3.9,4694,reliance digital,2 days
power bank fast charging,Sony power bank fast charging Model 552,1240.0,4.0,1072,flipkart,free delivery
microwave oven convection,HP microwave oven convection Model 770,1253.0,3.6,1177,flipkart,5 days
men running shoes,Puma men running shoes Model 846,1264.0,4.2,1855,croma,5 days
office chair ergonomic,HP office chair ergonomic Model 303,1279.0,4.9,4932,amazon,2 days
microwave oven convection,HP microwave oven convection Model 218,1280.0,3.8,4982,flipkart,free delivery
air fryer India,Boat air fryer India Model 191,1312.0,4.3,3015,croma,free delivery
office chair ergonomic,Samsung office chair ergonomic Model 195,1336.0,4.2,3413,flipkart,free delivery
microwave oven convection,LG microwave oven convection Model 421,1377.0,5.0,1203,reliance digital,free delivery
microwave oven convection,Dell microwave oven convection Model 924,1432.0,4.8,2003,croma,2 days
men running shoes,Boat men running shoes Model 963,1439.0,3.7,2268,reliance digital,free delivery
air fryer India,Philips air fryer India Model 898,1480.0,4.4,4269,croma,free delivery
microwave oven convection,Nike microwave oven convection Model 438,1670.0,3.9,1982,amazon,2 days
men running shoes,LG men running shoes Model 614,1680.0,2.7,4120,reliance digital,free delivery
air fryer India,LG air fryer India Model 497,1734.0,4.9,1240,amazon,free delivery
microwave oven convection,LG microwave oven convection Model 441,1788.0,4.4,713,flipkart,free delivery
men running shoes,HP men running shoes Model 956,1861.0,3.9,652,croma,5 days
office chair ergonomic,Boat office chair ergonomic Model 668,1919.0,2.9,1430,croma,2 days
microwave oven convection,Samsung microwave oven convection Model 132,2008.0,4.8,2465,croma,5 days
microwave oven convection,Nike microwave oven convection Model 675,2014.0,3.7,1428,reliance digital,5 days
office chair ergonomic,Philips office chair ergonomic Model 733,2022.0,3.7,4021,flipkart,2 days
office chair ergonomic,Philips office chair ergonomic Model 733,2022.0,3.7,2679,flipkart,2 days
power bank fast charging,Samsung power bank fast charging Model 292,2027.0,5.0,939,amazon,5 days
men running shoes,Sony men running shoes Model 547,2086.0,4.6,2882,croma,2 days
power bank fast charging,Sony power bank fast charging Model 726,2163.0,3.5,1528,reliance digital,free delivery
microwave oven convection,HP microwave oven convection Model 594,2169.0,3.6,3203,amazon,free delivery
men running shoes,Dell men running shoes Model 536,2176.0,3.8,2031,croma,5 days
office chair ergonomic,Sony office chair ergonomic Model 587,2295.0,3.9,4417,croma,5 days
microwave oven convection,Dell microwave oven convection Model 877,2507.0,4.7,3446,flipkart,free delivery
men running shoes,Boat men running shoes Model 839,2510.0,2.5,3356,croma,2 days
microwave oven convection,Nike microwave oven convection Model 140,2510.0,4.5,4517,croma,free delivery
microwave oven convection,Samsung microwave oven convection Model 326,2525.0,3.9,3415,croma,5 days
office chair ergonomic,Nike office chair ergonomic Model 983,2556.0,3.3,951,flipkart,free delivery
power bank fast charging,Samsung power bank fast charging Model 461,2621.0,4.9,112,amazon,free delivery
power bank fast charging,HP power bank fast charging Model 544,2627.0,4.7,512,amazon,free delivery
microwave oven convection,Dell microwave oven convection Model 467,2674.0,4.7,1877,amazon,2 days
microwave oven convection,Dell microwave oven convection Model 991,2702.0,4.1,1510,amazon,free delivery
office chair ergonomic,Boat office chair ergonomic Model 688,2783.0,3.1,1997,reliance digital,5 days
air fryer India,Dell air fryer India Model 411,2793.0,4.1,804,flipkart,free delivery
microwave oven convection,Boat microwave oven convection Model 754,2828.0,3.2,1712,reliance digital,5 days
men running shoes,Dell men running shoes Model 450,2830.0,2.9,3675,amazon,2 days
office chair ergonomic,Samsung office chair ergonomic Model 134,2841.0,3.7,3132,croma,5 days
men running shoes,Samsung men running shoes Model 589,2849.0,2.7,4466,amazon,2 days
power bank fast charging,Samsung power bank fast charging Model 567,2958.0,4.1,4103,croma,2 days
air fryer India,HP air fryer India Model 122,3007.0,3.0,798,flipkart,free delivery
office chair ergonomic,HP office chair ergonomic Model 586,3054.0,3.7,2790,reliance digital,2 days
office chair ergonomic,HP office chair ergonomic Model 586,3054.0,3.5,2790,reliance digital,2 days
air fryer India,LG air fryer India Model 237,3117.0,3.7,748,croma,free delivery
men running shoes,Boat men running shoes Model 961,3146.0,2.9,521,amazon,free delivery
microwave oven convection,HP microwave oven convection Model 268,3182.0,3.3,278,flipkart,free delivery
microwave oven convection,Sony microwave oven convection Model 208,3190.0,3.7,3485,reliance digital,free delivery
power bank fast charging,Philips power bank fast charging Model 481,3252.0,4.4,4842,amazon,free delivery
air fryer India,Dell air fryer India Model 399,3266.0,3.2,3596,amazon,free delivery
microwave oven convection,Nike microwave oven convection Model 418,3327.0,4.4,1863,flipkart,free delivery
microwave oven convection,LG microwave oven convection Model 315,3378.0,2.8,1762,reliance digital,2 days
microwave oven convection,LG microwave oven convection Model 315,3378.0,4.0,1762,reliance digital,2 days
air fryer India,LG air fryer India Model 521,3501.0,2.7,4874,flipkart,2 days
power bank fast charging,Puma power bank fast charging Model 877,3589.0,3.1,2943,amazon,2 days
microwave oven convection,HP microwave oven convection Model 133,3630.0,3.7,4648,amazon,free delivery
men running shoes,Philips men running shoes Model 919,3772.0,3.8,1377,croma,2 days
air fryer India,LG air fryer India Model 884,3840.0,4.9,2735,croma,5 days
power bank fast charging,HP power bank fast charging Model 824,3841.0,3.8,1977,amazon,5 days
air fryer India,Samsung air fryer India Model 611,3868.0,2.7,4042,croma,2 days
office chair ergonomic,Boat office chair ergonomic Model 391,3892.0,2.8,1107,reliance digital,free delivery
office chair ergonomic,Puma office chair ergonomic Model 150,3938.0,3.3,270,amazon,free delivery
power bank fast charging,LG power bank fast charging Model 398,4006.0,3.9,3536,reliance digital,free delivery
men running shoes,Dell men running shoes Model 200,4014.0,3.4,3811,flipkart,2 days
air fryer India,Sony air fryer India Model 556,4039.0,3.1,2150,amazon,5 days
power bank fast charging,Boat power bank fast charging Model 239,4103.0,4.7,4335,amazon,2 days
men running shoes,LG men running shoes Model 141,4134.0,3.5,2553,reliance digital,2 days
office chair ergonomic,Nike office chair ergonomic Model 597,4149.0,3.6,2704,reliance digital,5 days
power bank fast charging,Boat power bank fast charging Model 133,4165.0,3.4,2655,croma,5 days
power bank fast charging,Samsung power bank fast charging Model 858,4182.0,4.4,2560,amazon,free delivery
office chair ergonomic,Samsung office chair ergonomic Model 666,4203.0,4.0,3908,croma,5 days
microwave oven convection,HP microwave oven convection Model 639,4261.0,2.7,2230,flipkart,5 days
microwave oven convection,Sony microwave oven convection Model 440,4334.0,2.5,2041,flipkart,5 days
microwave oven convection,LG microwave oven convection Model 208,4378.0,3.8,646,amazon,2 days
office chair ergonomic,Philips office chair ergonomic Model 658,4438.0,4.4,40,amazon,5 days
microwave oven convection,Boat microwave oven convection Model 217,4482.0,3.2,779,croma,2 days
microwave oven convection,Nike microwave oven convection Model 917,4484.0,3.0,3422,reliance digital,5 days
men running shoes,Philips men running shoes Model 661,4516.0,4.6,1771,flipkart,2 days
men running shoes,Boat men running shoes Model 131,4525.0,4.3,60,amazon,free delivery
office chair ergonomic,Philips office chair ergonomic Model 836,4564.0,3.0,1540,amazon,free delivery
office chair ergonomic,Nike office chair ergonomic Model 625,4607.0,2.9,1964,reliance digital,5 days
microwave oven convection,Sony microwave oven convection Model 852,4773.0,4.5,3005,croma,2 days
microwave oven convection,Sony microwave oven convection Model 369,4789.0,4.6,589,amazon,5 days
power bank fast charging,Philips power bank fast charging Model 149,4795.0,4.1,942,croma,2 days
microwave oven convection,LG microwave oven convection Model 638,4845.0,4.5,2320,croma,5 days
power bank fast charging,Boat power bank fast charging Model 254,4855.0,4.8,2336,reliance digital,free delivery
air fryer India,Puma air fryer India Model 818,4964.0,4.1,732,flipkart,5 days
office chair ergonomic,Boat office chair ergonomic Model 178,5007.0,4.5,543,amazon,2 days
men running shoes,Dell men running shoes Model 605,5013.0,4.4,511,flipkart,free delivery
air fryer India,Philips air fryer India Model 545,5049.0,4.4,557,amazon,2 days
microwave oven convection,Sony microwave oven convection Model 224,5069.0,4.3,2597,reliance digital,2 days
office chair ergonomic,Dell office chair ergonomic Model 133,5073.0,3.3,515,reliance digital,2 days
microwave oven convection,LG microwave oven convection Model 152,5102.0,2.8,2118,reliance digital,5 days
power bank fast charging,Sony power bank fast charging Model 896,5150.0,5.0,2220,croma,2 days
office chair ergonomic,Dell office chair ergonomic Model 197,5177.0,3.6,764,croma,free delivery
air fryer India,HP air fryer India Model 506,5202.0,3.6,2195,croma,2 days
men running shoes,Nike men running shoes Model 985,5261.0,4.0,947,reliance digital,2 days
power bank fast charging,Samsung power bank fast charging Model 562,5331.0,3.8,4124,reliance digital,5 days
power bank fast charging,LG power bank fast charging Model 927,5380.0,2.6,1069,croma,free delivery
office chair ergonomic,Philips office chair ergonomic Model 849,5498.0,2.9,1932,amazon,free delivery
air fryer India,Samsung air fryer India Model 883,5559.0,3.9,3803,croma,free delivery
men running shoes,Sony men running shoes Model 835,5646.0,4.2,3419,amazon,5 days
air fryer India,Dell air fryer India Model 150,5659.0,4.2,270,amazon,5 days
microwave oven convection,Dell microwave oven convection Model 663,5712.0,4.2,1139,amazon,5 days
men running shoes,Nike men running shoes Model 799,5743.0,3.8,1695,flipkart,5 days
men running shoes,LG men running shoes Model 272,5766.0,3.2,973,reliance digital,5 days
power bank fast charging,LG power bank fast charging Model 926,5841.0,3.5,1593,croma,5 days
power bank fast charging,Boat power bank fast charging Model 927,5855.0,4.7,3908,croma,2 days
power bank fast charging,HP power bank fast charging Model 815,5912.0,3.6,80,reliance digital,free delivery
air fryer India,Puma air fryer India Model 766,5958.0,3.4,494,flipkart,2 days
office chair ergonomic,Nike office chair ergonomic Model 457,6006.0,3.4,1498,flipkart,free delivery
air fryer India,Nike air fryer India Model 642,6086.0,3.7,4274,flipkart,5 days
men running shoes,Nike men running shoes Model 692,6110.0,2.9,3598,croma,2 days
men running shoes,Philips men running shoes Model 921,6136.0,3.2,3343,croma,free delivery
air fryer India,HP air fryer India Model 735,6304.0,3.9,3336,amazon,5 days
men running shoes,Philips men running shoes Model 769,6357.0,3.3,255,reliance digital,5 days
microwave oven convection,Boat microwave oven convection Model 875,6446.0,4.6,613,amazon,2 days
microwave oven convection,Boat microwave oven convection Model 520,6468.0,4.1,4876,amazon,free delivery
men running shoes,HP men running shoes Model 115,6514.0,3.7,2024,amazon,free delivery
men running shoes,Nike men running shoes Model 445,6514.0,3.1,3970,amazon,free delivery
office chair ergonomic,Nike office chair ergonomic Model 716,6599.0,4.4,1617,flipkart,free delivery
power bank fast charging,HP power bank fast charging Model 232,6725.0,3.9,800,flipkart,free delivery
power bank fast charging,Sony power bank fast charging Model 131,6862.0,3.9,1670,croma,5 days
microwave oven convection,Samsung microwave oven convection Model 533,6933.0,3.8,4407,croma,5 days
men running shoes,Boat men running shoes Model 196,6965.0,4.7,281,amazon,free delivery
air fryer India,Nike air fryer India Model 938,6967.0,2.7,2732,reliance digital,5 days
men running shoes,LG men running shoes Model 597,6967.0,3.4,1700,reliance digital,2 days
air fryer India,Dell air fryer India Model 753,6992.0,4.4,1002,flipkart,2 days
men running shoes,Sony men running shoes Model 458,7058.0,3.1,516,reliance digital,2 days
men running shoes,Dell men running shoes Model 531,7064.0,4.9,2725,reliance digital,2 days
office chair ergonomic,Nike office chair ergonomic Model 206,7079.0,3.8,3238,amazon,free delivery
power bank fast charging,Puma power bank fast charging Model 586,7191.0,3.9,1373,croma,2 days
microwave oven convection,Puma microwave oven convection Model 554,7198.0,4.8,4075,amazon,5 days
power bank fast charging,Boat power bank fast charging Model 410,7209.0,3.8,4713,flipkart,free delivery
office chair ergonomic,Samsung office chair ergonomic Model 796,7217.0,4.3,4830,reliance digital,2 days
air fryer India,Nike air fryer India Model 258,7313.0,4.8,4820,amazon,5 days
office chair ergonomic,Dell office chair ergonomic Model 884,7331.0,4.1,2179,reliance digital,free delivery
men running shoes,Boat men running shoes Model 987,7350.0,4.4,1199,amazon,free delivery
men running shoes,Philips men running shoes Model 691,7350.0,3.6,2998,amazon,free delivery
men running shoes,LG men running shoes Model 260,7350.0,3.8,2107,amazon,free delivery
men running shoes,Nike men running shoes Model 881,7350.0,4.3,3162,amazon,free delivery
office chair ergonomic,LG office chair ergonomic Model 187,7370.0,4.9,324,flipkart,5 days
air fryer India,Sony air fryer India Model 991,7436.0,4.9,1081,flipkart,free delivery
men running shoes,Philips men running shoes Model 659,7470.0,3.5,3046,croma,2 days
men running shoes,Samsung men running shoes Model 785,7514.0,3.1,4026,reliance digital,5 days
office chair ergonomic,Puma office chair ergonomic Model 799,7517.0,3.7,2856,croma,2 days
power bank fast charging,LG power bank fast charging Model 620,7596.0,2.5,3981,flipkart,2 days
office chair ergonomic,LG office chair ergonomic Model 100,7656.0,4.7,778,croma,5 days
microwave oven convection,Sony microwave oven convection Model 482,7782.0,3.3,2054,croma,2 days
office chair ergonomic,Boat office chair ergonomic Model 509,7810.0,2.9,3143,croma,2 days
microwave oven convection,Puma microwave oven convection Model 243,7911.0,4.3,3020,reliance digital,2 days
power bank fast charging,Puma power bank fast charging Model 333,7947.0,3.3,3734,croma,5 days
microwave oven convection,LG microwave oven convection Model 306,8035.0,4.7,4121,reliance digital,5 days
power bank fast charging,Sony power bank fast charging Model 720,8143.0,5.0,1895,amazon,2 days
office chair ergonomic,Nike office chair ergonomic Model 378,8156.0,4.8,1246,croma,5 days
office chair ergonomic,HP office chair ergonomic Model 478,8156.0,3.5,89,croma,5 days
microwave oven convection,Nike microwave oven convection Model 509,8160.0,3.9,4917,reliance digital,free delivery
power bank fast charging,HP power bank fast charging Model 730,8200.0,2.7,633,flipkart,5 days
air fryer India,Dell air fryer India Model 238,8235.0,3.0,351,croma,5 days
office chair ergonomic,Dell office chair ergonomic Model 372,8277.0,3.6,389,croma,2 days
power bank fast charging,Dell power bank fast charging Model 817,8299.0,3.7,2691,flipkart,5 days
men running shoes,Sony men running shoes Model 393,8312.0,4.8,441,croma,free delivery
men running shoes,Dell men running shoes Model 900,8466.0,3.2,3377,croma,2 days
men running shoes,Nike men running shoes Model 469,8496.0,4.5,969,croma,2 days
microwave oven convection,Puma microwave oven convection Model 765,8497.0,2.6,1408,croma,2 days
men running shoes,LG men running shoes Model 675,8539.0,2.8,1189,reliance digital,2 days
air fryer India,Nike air fryer India Model 536,8598.0,3.3,1641,croma,5 days
office chair ergonomic,Boat office chair ergonomic Model 710,8682.0,4.5,3068,flipkart,free delivery
office chair ergonomic,Puma office chair ergonomic Model 417,8744.0,4.9,3832,croma,2 days
air fryer India,Samsung air fryer India Model 811,8748.0,3.9,2245,amazon,2 days
men running shoes,Philips men running shoes Model 437,8752.0,4.7,3962,amazon,5 days
