keyword,title,price,rating,reviews,platform,delivery,brand,price_range,popularity_score,raw_price,discount
air fryer India,Nike air fryer India Model 114,509.0,3.8,3324,reliance digital,2 days,Nike,low-Budget,30.815054821741825,509.0,0
microwave oven convection,Philips microwave oven convection Model 363,545.0,4.5,3336,reliance digital,2 days,Philips,low-Budget,36.50772365438118,545.0,0
air fryer India,Dell air fryer India Model 406,580.0,5.0,4288,reliance digital,free delivery,Dell,low-Budget,41.8190444225844,580.0,0
power bank fast charging,Nike power bank fast charging Model 363,702.0,4.5,1477,flipkart,2 days,Nike,low-Budget,32.84300295678666,702.0,0
men running shoes,Samsung men running shoes Model 836,712.0,4.6,819,flipkart,2 days,Samsung,low-Budget,30.86279996518817,712.0,0
power bank fast charging,Samsung power bank fast charging Model 308,780.0,2.9,2239,croma,2 days,Samsung,low-Budget,22.371270320062347,780.0,0
microwave oven convection,Philips microwave oven convection Model 889,861.0,5.0,1382,amazon,2 days,Philips,low-Budget,36.160051658323795,861.0,0
power bank fast charging,Puma power bank fast charging Model 343,889.0,4.9,3557,reliance digital,5 days,Puma,low-Budget,40.06707395430632,889.0,0
air fryer India,Philips air fryer India Model 575,1010.0,3.3,2030,flipkart,2 days,Philips,low-Budget,25.13373575321527,1010.0,0
microwave oven convection,HP microwave oven convection Model 801,1014.0,4.8,556,flipkart,5 days,HP,low-Budget,30.348313151650963,1014.0,0
power bank fast charging,Dell power bank fast charging Model 291,1087.0,2.6,1882,croma,5 days,Dell,low-Budget,19.6056159745086,1087.0,0
microwave oven convection,Sony microwave oven convection Model 911,1095.0,3.5,2227,reliance digital,5 days,Sony,low-Budget,26.981008603665114,1095.0,0
microwave oven convection,HP microwave oven convection Model 455,1099.0,2.6,2771,reliance digital,2 days,HP,low-Budget,20.611043336805466,1099.0,0
men running shoes,HP men running shoes Model 425,1105.0,3.8,69,amazon,5 days,HP,low-Budget,16.144281919787566,1105.0,0
office chair ergonomic,Puma office chair ergonomic Model 753,1131.0,3.9,4694,reliance digital,2 days,Puma,low-Budget,32.97158822740521,1131.0,0
power bank fast charging,Sony power bank fast charging Model 552,1240.0,4.0,1072,flipkart,free delivery,Sony,low-Budget,27.912854970522794,1240.0,0
microwave oven convection,HP microwave oven convection Model 770,1253.0,3.6,1177,flipkart,5 days,HP,low-Budget,25.457664111161517,1253.0,0
men running shoes,Puma men running shoes Model 846,1264.0,4.2,1855,croma,5 days,Puma,low-Budget,31.609951436053816,1264.0,0
office chair ergonomic,HP office chair ergonomic Model 303,1279.0,4.9,4932,amazon,2 days,HP,low-Budget,41.668142746045326,1279.0,0
microwave oven convection,HP microwave oven convection Model 218,1280.0,3.8,4982,flipkart,free delivery,HP,low-Budget,32.352392113469335,1280.0,0
air fryer India,Boat air fryer India Model 191,1312.0,4.3,3015,croma,free delivery,Boat,low-Budget,34.45025293524974,1312.0,0
office chair ergonomic,Samsung office chair ergonomic Model 195,1336.0,4.2,3413,flipkart,free delivery,Samsung,low-Budget,34.16968759408842,1336.0,0
microwave oven convection,LG microwave oven convection Model 421,1377.0,5.0,1203,reliance digital,free delivery,LG,low-Budget,35.46702312934383,1377.0,0
microwave oven convection,Dell microwave oven convection Model 924,1432.0,4.8,2003,croma,2 days,Dell,low-Budget,36.493922218582824,1432.0,0
men running shoes,Boat men running shoes Model 963,1439.0,3.7,2268,reliance digital,free delivery,Boat,low-Budget,28.590249593685414,1439.0,0
air fryer India,Philips air fryer India Model 898,1480.0,4.4,4269,croma,free delivery,Philips,low-Budget,36.78122406737975,1480.0,0
microwave oven convection,Nike microwave oven convection Model 438,1670.0,3.9,1982,amazon,2 days,Nike,low-Budget,29.610227901227205,1670.0,0
men running shoes,LG men running shoes Model 614,1680.0,2.7,4120,reliance digital,free delivery,LG,low-Budget,22.474398054614806,1680.0,0
air fryer India,LG air fryer India Model 497,1734.0,4.9,1240,amazon,free delivery,LG,low-Budget,34.905996647502576,1734.0,0
microwave oven convection,LG microwave oven convection Model 441,1788.0,4.4,713,flipkart,free delivery,LG,low-Budget,28.911885034294173,1788.0,0
men running shoes,HP men running shoes Model 956,1861.0,3.9,652,croma,5 days,HP,low-Budget,25.27815080417808,1861.0,0
