keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Smart Phones,Google Pixel 10a,499.0,499.0,4.6,14000,Best Buy,1,Free delivery by Mon,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:18082292207578144272,productid:8339966258160419426,headlineOfferDocid:5762889083334799951,imageDocid:8291266959435033997,rds:PC_9690311617060370621|PROD_PC_9690311617060370621,gpcid:16790268864399002546,mid:576462881341546348,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSrBuKsQe-19gasfyHA2XXX8wl24HrXmLfVj4UZgbxyLI4oQwW3fffEiIVmy-dfDlOStbpg9ECzqXRogk6i5vUHuXwstsAmIUf4B69JVDir
Smart Phones,Samsung Galaxy Z Flip7 FE Smartphone,899.99,899.99,4.6,9600,Boost Mobile,2,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:18205834765713440327,productid:16756670466540112062,headlineOfferDocid:18351683635962440359,imageDocid:4718860857843873229,rds:PC_1806898280459141321|PROD_PC_1806898280459141321,gpcid:1806898280459141321,mid:576462863295556236,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR1doayiWtfFJjHIwhw2RW0e3p7JGnWPC9n-ZsU_Yi12HuI_rtplPF4jWOaJ6_DmSvJGZUl0Zks9sRAlge7cJiKuhywNgD0
Smart Phones,Apple iPhone 17,929.0,929.0,4.6,150000,Apple,3,Free next-day delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:1162483734985481855,productid:1682543984926353568,headlineOfferDocid:15441680057023274579,imageDocid:9555972899160554812,rds:PC_4728907421224624008|PROD_PC_4728907421224624008,gpcid:4728907421224624008,mid:576462866558881327,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQIeluGQzh2mQQ26P_wJMQ4jsW1tATjEg8_bqKWx26-ZnkJ9V9GXZK2x3Obh9uxNoEMEmzOsj17uQboTw61EtXwiKMsiaEqZyCYJOwdyuDiuwxeQG_QVt13o2E
Smart Phones,Motorola moto g play,99.99,99.99,4.4,11000,Best Buy,4,Free delivery by Mon,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:11728931125208695182,productid:18227072505466509915,headlineOfferDocid:1508099670677033916,imageDocid:8133280389532838798,rds:PC_6747545124227736512|PROD_PC_6747545124227736512,gpcid:6747545124227736512,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQUq_a6KqENMXur2U2B-8DB76aai1XsJqaMID_fWcVqMOEZpLI0LLNV2rfRy-41C_kFgU0II0J8iEInNWP8sUOo-SwIY6qg_Q75BMqy7gg
Smart Phones,Tracfone Samsung Galaxy A16 128gb 5G,118.0,118.0,3.9,7930,Walmart - MGA Store,5,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:17970595578344839804,productid:1068651151171757966,headlineOfferDocid:2609509318546409956,imageDocid:15071446822544809844,rds:PC_4292889098317096162|PROD_PC_4292889098317096162,gpcid:4292889098317096162,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSTY7Iy3ZwU6oTWOkxsv3Mb9e_gCa0wApl26B0kGec-SkIvcYlH8443DEzcfE0kUnFZQkUeSY8AWiFMFK8fFAdTNSX_GfosgWKezSFy75E6Iv5URNnFygmUaw
Smart Phones,Samsung Galaxy A37 5G,12.49,12.49,4.7,6120,Verizon,6,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:12369985939504352464,productid:4253678622906312096,headlineOfferDocid:8336165793870436673,imageDocid:15439466044581478847,rds:PC_11246152204496027557|PROD_PC_11246152204496027557,gpcid:16735156909576604971,mid:576462884840492415,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS5qxAXefFtqLKCoxa35yZZUlCpIKNyvBrhMrEl0YE7bLMkIAUqG6386mlmjoyWoJncZ1peaT5ZdagPhMxA8gSxZXasiwdPO6KrXrdf7nyno8pbTSFkiO6uEg
Smart Phones,BLU G75 256GB,179.99,179.99,4.3,590,Best Buy,7,Free delivery by Mon,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:5107120445543377511,productid:4299527168571329119,headlineOfferDocid:18064296775104644779,imageDocid:5212896887804531452,rds:PC_9790657218427735730|PROD_PC_9790657218427735730,gpcid:9790657218427735730,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTbwq4nhJ07jTJQHmzy6T20UTKuwJybvLuL5YcWSL3_IJKCZJvTNV6-GwMeITzF0baODAn36RAwOzAVyK2z-BRxsJ55JhmC0RUwqUWY2zmR
Smart Phones,Samsung Galaxy S25 Edge,1099.99,1099.99,4.8,680000,Boost Mobile,8,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:10314378908000867762,productid:973749687758064486,headlineOfferDocid:8468901066484378188,imageDocid:9986145371490804742,rds:PC_12281303598994469691|PROD_PC_12281303598994469691,gpcid:5284187792860746827,mid:576462862864753816,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTeFzPiDcuiV2kEZJ5dM99DLxZpJGphnysy6H6JCqW6Km-PQ7RQ0V9TCXImlOcS6ab3_dTjtvJT7w4yzYIEUFfvz61CDezO
Smart Phones,Samsung Galaxy S26 Ultra,36.12,36.12,4.8,570000,AT&T,9,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:110237358830224739,productid:217121435703473405,headlineOfferDocid:16903279154334076003,imageDocid:12860936798504522819,rds:PC_16418233158843180078|PROD_PC_16418233158843180078,gpcid:16418233158843180078,mid:576462881578705767,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQyuNcsEwR4cj1R-3GQzW9rYC6CHPeOMDpkJLVtAZnfgEq39MrTiSHChgWvpyYUU3bSllmX8jqkFKk1kjfOaueKzIhvX0bf
Smart Phones,Samsung Galaxy A17 5G,119.0,119.0,4.1,670,Walmart,10,1 hour delivery $20,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:7107946910101650238,productid:17263745118909366091,headlineOfferDocid:1697651119585775799,imageDocid:4776403388657343528,rds:PC_3621411454079439078|PROD_PC_3621411454079439078,gpcid:3621411454079439078,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQCXGsMynzBUlJrCaEAZfWbetZxgO0ETACJ3oz5rp9IV6k6iu3Becb-HhAVYYm3G190lpxA8Ngk90muMHFxXULzwHHwc2h-RF_JtTUOE9fG8sOdYJ1aWXulAw
